image_id,s_x,s_rot,len_x,len_rot,text_x,text_rot
calib_00054,0.7034049034118652,0.3541126549243927,8,4,VARINAIT,SLSA
calib_00055,0.7950632572174072,0.43242302536964417,6,6,KALLSI,16114N
calib_00056,0.9585959315299988,0.8012706637382507,2,2,OL,70
calib_00057,0.29380154609680176,0.9437336325645447,2,13,LA,I.A.Eifenmann
calib_00058,0.99781334400177,0.5740407705307007,5,5,SONAR,SVAAA
calib_00059,0.776213526725769,0.34635278582572937,4,3,NAME,JWN
calib_00060,0.1902008354663849,0.5036343932151794,4,3,tAWs,SVE
calib_00061,0.9982123970985413,0.21071219444274902,22,13,xiaomeng168.taobao.com,urrarettrecnx
calib_00062,0.9889331459999084,0.5822632312774658,4,3,MENT,ENL
calib_00063,0.0,0.0,0,0,,
calib_00064,0.825592577457428,0.6129888892173767,3,1,463,%
calib_00065,0.09431623667478561,0.5596400499343872,1,2,V,RA
calib_00066,0.3744128942489624,0.752862274646759,2,3,en,ita
calib_00067,0.7005497217178345,0.6556571125984192,2,2,mu,mW
calib_00068,0.22282469272613525,0.7873911261558533,2,10,ea,xhibitedar
calib_00069,0.7270328998565674,0.6498233079910278,6,6,GAZ2BO,DHRNTY
calib_00070,0.6231071949005127,0.4098842442035675,2,2,TT,AL
calib_00071,0.19519181549549103,0.2788550555706024,1,1,D,4
calib_00072,0.8654814958572388,0.6049349308013916,18,18,WELISEAPCOADVISORS,S8OSTAOYTCJ8TZSTEM
calib_00073,0.8130094408988953,0.4919438064098358,3,3,BAD,JAR
calib_00074,0.31916674971580505,0.4972277283668518,3,4,B13,Esth
calib_00075,0.4842219054698944,0.5425642132759094,1,6,u,Tom en
calib_00076,0.895081639289856,0.4502657949924469,2,3,11,111
calib_00077,0.7743167877197266,0.6859792470932007,2,2,17,61
calib_00078,0.3605252504348755,0.9991582036018372,3,4,PaS,PRIS
calib_00079,0.5558067560195923,0.3473861813545227,1,1,S,S
calib_00080,0.917389452457428,0.6831696629524231,6,6,Curren,uanine
calib_00081,0.4230116307735443,0.9367644786834717,6,6,adadde,appean
calib_00082,0.7994096875190735,0.7328607439994812,3,3,ing,Bay
calib_00083,0.6545940041542053,0.9225888848304749,10,11,saldeopurs,Sondekapies
calib_00084,0.4405175447463989,0.18608221411705017,2,1,PE,R
calib_00085,0.8145276308059692,0.6839043498039246,1,1,J,-
calib_00086,0.5130815505981445,0.4651806950569153,3,2,A S,"-"""
calib_00087,0.47550612688064575,0.5986506938934326,5,6,GAAIN,NiLVMS
calib_00088,0.5147541761398315,0.9492883682250977,5,6,S1668,5/1958
calib_00089,0.37283921241760254,0.9888014793395996,3,3,800,810
calib_00090,0.3541181981563568,0.25902342796325684,3,4,Pie,Cled
calib_00091,0.6260794401168823,0.8073878884315491,2,3,81,18.
calib_00092,0.5437147617340088,0.5159019231796265,3,3,300,506
calib_00093,0.9877076148986816,0.9606195688247681,3,2,NO.,ON
calib_00094,0.9977743625640869,0.48897647857666016,3,3,ICT,LCT
calib_00095,0.3450852334499359,0.3730661869049072,1,2,1,Cl
calib_00096,0.28507766127586365,0.9875615239143372,4,3,AaaY,2AV
calib_00097,0.6123071312904358,0.45669806003570557,3,3,273,cc2
calib_00098,0.0,0.0,0,0,,
calib_00099,0.0,0.8534213900566101,0,3,,loj
calib_00100,0.5531578660011292,0.20300237834453583,3,3,140,110
calib_00101,0.32155507802963257,0.5040634870529175,1,1,4,k
calib_00102,0.9571634531021118,0.15275418758392334,5,2,BREAD,B3
calib_00103,0.9996953010559082,0.7539229393005371,2,2,20,20
calib_00104,0.40191957354545593,0.0,3,0,Con,
calib_00105,0.8406573534011841,0.6864572167396545,5,4,CWloc,JOTM
calib_00106,0.4399823844432831,0.9950668811798096,2,2,4p,th
calib_00107,0.9796507954597473,0.4323156476020813,5,5,TELLA,ITLLA
calib_00108,0.29844561219215393,0.7753261923789978,6,16,TTAM-Y,LEE RR-WAMD.D.S.
calib_00109,0.5469808578491211,0.9667849540710449,2,2,10,al
calib_00110,0.9187009930610657,0.9976776242256165,1,1,9,6
calib_00111,0.8725950717926025,0.3727211356163025,2,2,Co,00
calib_00112,0.2512481212615967,0.6687265038490295,5,5,S00SS,Looks
calib_00113,0.6853331327438354,0.21164825558662415,5,2,feffe,A5
calib_00114,0.9992610812187195,0.3935694992542267,7,6,BW400CN,GOOOCN
calib_00115,0.991357684135437,0.4128037095069885,5,5,Proc.,PPood
calib_00116,0.44979482889175415,0.6836973428726196,2,2,30,DE
calib_00117,0.0,0.2300831824541092,0,4,,CHNI
calib_00118,0.5242311358451843,0.4933497905731201,1,1,I,","
calib_00119,0.5246263146400452,0.806117057800293,6,8,B252-T,432-2528
calib_00120,0.1969698667526245,0.4921618402004242,3,6,A0B,FRITED
calib_00121,0.7893205881118774,0.6610451936721802,1,2,8,80
calib_00122,0.4121723175048828,0.5060663223266602,5,4,DATHE,CHLE
calib_00123,0.9975511431694031,0.5028301477432251,2,2,be,x4
calib_00124,0.40309178829193115,0.9495097994804382,3,5,Neh,valti
calib_00125,0.39558902382850647,0.4864182472229004,4,4,119S,SeTC
calib_00126,0.8966996669769287,0.770020067691803,2,2,de,PT
calib_00127,0.6296753287315369,0.3359142541885376,2,2,55,5T
calib_00128,0.0,0.15342497825622559,0,1,,B
calib_00129,0.7509332895278931,0.22532156109809875,1,2,J,a0
calib_00130,0.0,0.0,0,0,,
calib_00131,0.848656952381134,0.6296911835670471,3,3,980,088
calib_00132,0.36859533190727234,0.9589036703109741,7,8,MEERDIW,MICHELIN
calib_00133,0.6332372426986694,0.14281246066093445,1,1,3,%
calib_00134,0.9990332722663879,0.2221100628376007,7,5,sistemi,Sssed
calib_00135,0.5860180854797363,0.24886809289455414,2,1,bo,5
calib_00136,0.3054174780845642,0.09224648773670197,1,1,K,X
calib_00137,0.4062296450138092,0.5988729596138,3,4,awy,Jagy
calib_00138,0.4195658266544342,0.5535758137702942,4,4,seel,1438
calib_00139,0.7916558384895325,0.5207089185714722,7,5,burcomp,ducna
calib_00140,0.4721890091896057,0.27585214376449585,4,2,dile,JP
calib_00141,0.08077442646026611,0.17522788047790527,1,1,-,-
calib_00142,0.36651283502578735,0.8509349822998047,4,8,TTEE,EXINGILE
calib_00143,0.9530700445175171,0.3620789349079132,14,5,First Republic,FRBIL
calib_00144,0.5991910099983215,0.9797409176826477,4,6,IAAA,ITALIA
calib_00145,0.16069956123828888,0.572062075138092,1,3,4,3SP
calib_00146,0.5278211832046509,0.937129557132721,4,4,TARZ,2271
calib_00147,0.3157750964164734,0.5661458969116211,1,2,O,10
calib_00148,0.0,0.19351528584957123,0,1,,I
calib_00149,0.38833940029144287,0.5622533559799194,2,2,00,oo
calib_00150,0.3588441014289856,0.8832552433013916,4,8,CEEN,CENATIUN
calib_00151,0.5463534593582153,0.4985882043838501,2,2,20,01
calib_00152,0.9960055947303772,0.9745921492576599,1,1,H,H
calib_00153,0.6434115171432495,0.5498199462890625,1,4,n,OURT
calib_00154,0.43935561180114746,0.9113317131996155,5,6,VOIN),(MICA)
calib_00155,0.1962200552225113,0.2533610463142395,1,1,H,S
calib_00156,0.666761040687561,0.4415920674800873,4,3,ARTS,FUY
calib_00157,0.6786566972732544,0.4360669255256653,7,7,FRRKING,ONEAFNR
calib_00158,0.47502946853637695,0.7832785844802856,1,2,S,S.
calib_00159,0.740291953086853,0.5737646222114563,4,2,2011,ho
calib_00160,0.6129641532897949,0.3661235570907593,2,1,10,O
calib_00161,0.5097684860229492,0.22583359479904175,6,4,ROLEAT,AUEE
calib_00162,0.5957846641540527,0.9061935544013977,4,4,A'dd,PP.t
calib_00163,0.7673153281211853,0.5468803644180298,5,5,KJ/AL,SHICS
calib_00164,0.9967235326766968,0.3311116397380829,17,8,IMMOBILIENZENTRUM,WMLILIWW
calib_00165,0.40436163544654846,0.213878333568573,4,2,PIRE,14
calib_00166,0.8096088767051697,0.7937861680984497,6,2,Boudle,og
calib_00167,0.0,0.781017541885376,0,16,,capensis (Bain::
calib_00168,0.20084941387176514,0.6139153242111206,4,4,0a2N,NEED
calib_00169,0.779757022857666,0.7614821195602417,4,4,1015,STOL
calib_00170,0.9993076324462891,0.48271942138671875,4,3,Kill,HII
calib_00171,0.35052981972694397,0.0,2,0,20,
calib_00172,0.5111781358718872,0.8842587471008301,5,6,TAOOL,TAMONL
calib_00173,0.441039502620697,0.5416877269744873,2,3,A7,WAT
calib_00174,0.6314281225204468,0.8363562822341919,2,2,S1,TS
calib_00175,0.9708712100982666,0.5826838612556458,13,10,$1.59........,.....65'1$
calib_00176,0.5903792381286621,0.8551170229911804,1,1,N,N
calib_00177,0.8061590194702148,0.4233110249042511,3,3,Mid,PID
calib_00178,0.921085774898529,0.4943014681339264,6,6,URRITT,LIINNO
calib_00179,0.9912909269332886,0.5084654688835144,5,5,AOCFM,WOOOW
calib_00180,0.9981021285057068,0.828925609588623,3,3,New,MaN
calib_00181,0.8406789898872375,0.49439072608947754,6,4,Preebe,opod
calib_00182,0.6836175322532654,0.9815218448638916,7,8,SORPITY,Malditos
calib_00183,0.8644841909408569,0.26801228523254395,22,4,LABELRUM TEQULA.CINOIN,AREI
calib_00184,0.9427015781402588,0.27690574526786804,6,3,RECORD,ERE
calib_00185,0.15138335525989532,0.7926862239837646,2,6,ci,Ocline
calib_00186,0.9846299886703491,0.45198410749435425,5,5,WATER,MAAEE
calib_00187,0.9952961802482605,0.44289523363113403,3,4,tem,LU04
calib_00188,0.34346911311149597,0.9930679202079773,3,12,nAy,Ayuntamiento
calib_00189,0.0,0.1226508691906929,0,1,,T
calib_00190,0.632380485534668,0.6293242573738098,1,1,T,B
calib_00191,0.5321887135505676,0.8720396757125854,5,5,LESCY,K2647
calib_00192,0.19430458545684814,0.34174835681915283,1,1,3,A
calib_00193,0.8448664546012878,0.9772028923034668,3,3,12W,mel
calib_00194,0.6897050142288208,0.5369699001312256,2,1,UR,m
calib_00195,0.4422686994075775,0.9283431768417358,5,5,ABOVE,BADEN
calib_00196,0.9550468325614929,0.9514790773391724,1,1,1,-
calib_00197,0.5324355959892273,0.6710936427116394,1,1,1,t
calib_00198,0.5796242952346802,0.43828287720680237,5,5,heips,SAIRN
calib_00199,0.9567777514457703,0.3682754933834076,5,5,PROTE,BlOOd
calib_00200,0.2997698485851288,0.2128952443599701,1,1,O,S
calib_00201,0.49105405807495117,0.13217826187610626,6,1,Aoalie,m
calib_00202,0.2562481760978699,0.4040556848049164,2,3,2E,B12
calib_00203,0.418697714805603,0.5050401091575623,1,1,Q,O
calib_00204,0.2392374575138092,0.7557743191719055,1,6,R,Slence
calib_00205,0.8310487270355225,0.3122614026069641,2,2,35,Of
calib_00206,0.6600227355957031,0.7146735787391663,2,3,MA,VAN
calib_00207,0.549950361251831,0.8648374676704407,4,4,RIVK,MADE
calib_00208,0.987229585647583,0.42973288893699646,6,6,CENTRO,CEINGO
calib_00209,0.0,0.7046648263931274,0,5,,NALRN
calib_00210,0.47349509596824646,0.2631882131099701,5,2,Comoa,Ca
calib_00211,0.8523508906364441,0.9296744465827942,6,6,00:610,819:00
calib_00212,0.9298273324966431,0.5905237197875977,5,4,£1.25,S217
calib_00213,0.49446362257003784,0.16139204800128937,2,2,PN,Fa
calib_00214,0.9574311375617981,0.4951397180557251,5,4,AWARD,ciay
calib_00215,0.4648233950138092,0.3429594337940216,2,3,OT,190
calib_00216,0.9672468900680542,0.24358680844306946,9,7,residente,rteiaee
calib_00217,0.9808554649353027,0.8935794830322266,2,2,VI,IA
calib_00218,0.7324178814888,0.3742145895957947,1,1,2,Z
calib_00219,0.7938787341117859,0.1782931238412857,6,2,"(Prow,",wo
calib_00220,0.25271114706993103,0.6684104800224304,3,5,A00,M2002
calib_00221,0.9870935678482056,0.5935564041137695,5,2,ALICE,EE
calib_00222,0.6883516311645508,0.646979033946991,1,1,X,X
calib_00223,0.8055963516235352,0.3901771605014801,3,3,100,10L
calib_00224,0.4672571122646332,0.6018425822257996,7,5,4A2EBAL,TIY83
calib_00225,0.8486402034759521,0.3135157525539398,8,3,vitamesd,pst
calib_00226,0.7660622000694275,0.49590161442756653,7,8,TEAMODE,SITURVEL
calib_00227,0.7788262367248535,0.8425016403198242,6,6,AOMSET,AFEWAY
calib_00228,0.8046921491622925,0.07559366524219513,4,1,dite,2
calib_00229,0.9574452638626099,0.9177489876747131,2,2,du,np
calib_00230,0.08708394318819046,0.2762720584869385,1,2,o,so
calib_00231,0.0,0.1478615254163742,0,1,,O
calib_00232,0.8984755873680115,0.2714083790779114,7,2,Colling,MM
calib_00233,0.19275401532649994,0.314008891582489,1,4,C,LEAD
calib_00234,0.8643778562545776,0.853379487991333,2,2,91,16
calib_00235,0.5217974185943604,0.5954521894454956,2,2,0O,00
calib_00236,0.9994346499443054,0.42514505982398987,4,4,GRAD,CEAA
calib_00237,0.9784461855888367,0.2731252908706665,16,15,aussiebeader.com,arcaepeeaeeesre
calib_00238,0.9227034449577332,0.44286298751831055,3,3,ECE,EOE
calib_00239,0.2564045786857605,0.18293748795986176,5,2,FELEE,PE
calib_00240,0.8361139297485352,0.2867719233036041,6,5,Suivez,cases
calib_00241,0.9962538480758667,0.46054041385650635,7,6,IBARRAN,IAAAAN
calib_00242,0.34229305386543274,0.1685398668050766,1,1,&,W
calib_00243,0.6339877247810364,0.9485530853271484,4,4,CEET,3833
calib_00244,0.3499470353126526,0.6122631430625916,2,4,dD,Gija
calib_00245,0.5338159203529358,0.6595562696456909,3,4,"""OD",Lo..
calib_00246,0.6596056222915649,0.25127658247947693,9,6,CROBSFEAR,SEERSE
calib_00247,0.6287476420402527,0.34024930000305176,1,1,o,6
calib_00248,0.3446536064147949,0.3801673352718353,1,2,W,Im
calib_00249,0.6792894601821899,0.5229097604751587,5,5,PEEXT,LEKI0
calib_00250,0.0,0.0,0,0,,
calib_00251,0.2422652542591095,0.6914219856262207,2,3,54,145
calib_00252,0.9970863461494446,0.21290332078933716,4,2,Velh,un
calib_00253,0.8742586970329285,0.7568647861480713,5,5,FUNNI,INNIE
calib_00254,0.932039737701416,0.346816748380661,6,6,PURPLE,PlPPnE
calib_00255,0.0,0.6016435623168945,0,5,,Prnas
calib_00256,0.38308265805244446,0.9266815185546875,2,2,o0,ad
calib_00257,0.5978663563728333,0.6815477013587952,3,3,DOA,YAd
calib_00258,0.676508903503418,0.8127665519714355,3,1,NO-,-
calib_00259,0.35223424434661865,0.9910848736763,3,3,BHY,RAZ
calib_00260,0.3601932227611542,0.7109715938568115,7,8,10oorzo,02/00.ml
calib_00261,0.9983856081962585,0.2428094744682312,5,4,Quick,oinr
calib_00262,0.6356991529464722,0.7039328813552856,8,5,HEANRIQE,JANAT
calib_00263,0.5672478079795837,0.9112399220466614,7,7,GOLLION,COITION
calib_00264,0.41363853216171265,0.27102288603782654,2,1,14,P
calib_00265,0.3800223767757416,0.45953741669654846,3,3,"""……",…….
calib_00266,0.6899755001068115,0.7782819867134094,3,3,n10,OLI
calib_00267,0.30924293398857117,0.0,11,0,Siealetfurr,
calib_00268,0.9745382070541382,0.952508807182312,2,2,de,ap
calib_00269,0.2541062533855438,0.46479496359825134,2,4,OR,falc
calib_00270,0.3400487005710602,0.29186487197875977,2,3,OC,5.5
calib_00271,0.3271641433238983,0.8496389985084534,4,4,BSLE,ESTO
calib_00272,0.3650647699832916,0.3662373125553131,2,6,ny,IUtAx2
calib_00273,0.5467348694801331,0.5981842875480652,3,1,Fr.,4
calib_00274,0.5401432514190674,0.569495439529419,4,3,Bngs,Dua
calib_00275,0.09032874554395676,0.1382741779088974,1,1,W,S
calib_00276,0.8161135911941528,0.29449403285980225,4,4,dose,S00e
calib_00277,0.4114326238632202,0.588746190071106,2,2,e1,Ia
calib_00278,0.3937199115753174,0.6072030663490295,3,3,noN,NCA
calib_00279,0.2518027722835541,0.5360655188560486,7,7,sragply,fedines
calib_00280,0.3715325593948364,0.2737416923046112,4,3,B4AX,XOS
calib_00281,0.9993057250976562,0.21747952699661255,8,4,Platform,poer
calib_00282,0.41296645998954773,0.7352939248085022,4,6,onou,noturo
calib_00283,0.29369136691093445,0.9991508722305298,6,15,Jteser,Vertragshandler
calib_00284,0.9829306602478027,0.3152613341808319,6,3,Cortee,CEE
calib_00285,0.9388885498046875,0.8762511014938354,2,2,de,op
calib_00286,0.4722183644771576,0.5579268932342529,5,2,IROEE,S0
calib_00287,0.6445020437240601,0.9102216362953186,2,1,80,8
calib_00288,0.1905830055475235,0.5877158641815186,1,1,X,4
calib_00289,0.8796069025993347,0.9874535799026489,1,1,2,L
calib_00290,0.1761786788702011,0.2267618179321289,1,3,2,L1T
calib_00291,0.48659515380859375,0.3115891218185425,10,3,"Ergeamnis,",su3
calib_00292,0.9283972382545471,0.44722506403923035,4,4,HALE,HALL
calib_00293,0.949783444404602,0.6033576130867004,8,8,Cassates,SUPSSPOD
calib_00294,0.17749060690402985,0.0,1,0,n,
calib_00295,0.9146285653114319,0.3498302102088928,1,2,C,Mm
calib_00296,0.7200506925582886,0.32952165603637695,4,4,1520,sS20
calib_00297,0.69920414686203,0.9984344840049744,3,3,StI,Its
calib_00298,0.8900853991508484,0.19982433319091797,5,4,Ohiol,IoiO
calib_00299,0.5315202474594116,0.9123249650001526,1,1,1,t
calib_00300,0.29211413860321045,0.925279438495636,4,12,obeg,Lil. Dagover
calib_00301,0.16978105902671814,0.10560917109251022,1,1,H,X
calib_00302,0.4519014358520508,0.49700748920440674,4,6,oney,Aoraas
calib_00303,0.6482210159301758,0.2781393229961395,1,1,A,Y
calib_00304,0.4212559163570404,0.15238507091999054,1,1,V,A
calib_00305,0.9998442530632019,0.4045494794845581,3,3,tax,x11
calib_00306,0.13232086598873138,0.37144356966018677,1,1,T,D
calib_00307,0.4113873541355133,0.6938050389289856,1,1,5,C
calib_00308,0.2618337571620941,0.47057420015335083,4,5,MOrN,Mikon
calib_00309,0.0,0.2539527714252472,0,3,,203
calib_00310,0.21940456330776215,0.36643049120903015,2,2,S0,44
calib_00311,0.5609662532806396,0.42771127820014954,9,9,DNTBSNCOA,PODMEEUNG
calib_00312,0.25730466842651367,0.25136154890060425,3,2,EAP,RM
calib_00313,0.798903226852417,0.984563946723938,9,10,HOTSTATTE,TELEVISION
calib_00314,0.8800603747367859,0.5548157095909119,3,3,hat,new
calib_00315,0.8657901287078857,0.1826549470424652,8,5,TR.GASTA,TAS8R
calib_00316,0.9929571151733398,0.32020625472068787,5,5,MODEL,MOG0H
calib_00317,0.49219366908073425,0.8594893217086792,4,5,DAAE,GIAKE
calib_00318,0.9459812641143799,0.728935182094574,3,3,you,TOA
calib_00319,0.9995691776275635,0.5174320340156555,9,7,PUGNANTES,PEVNNES
calib_00320,0.5315052270889282,0.8948470950126648,5,6,rodha,Drupol
calib_00321,0.5647562146186829,0.16059015691280365,6,2,JeaTeP,Co
calib_00322,0.7787041664123535,0.9339584112167358,2,2,ve,as
calib_00323,0.2539757490158081,0.9899377822875977,9,9,Boszdurnn,Guangzhou
calib_00324,0.6522154808044434,0.5469187498092651,4,5,NOE1,-T3ON
calib_00325,0.3404631018638611,0.8450278043746948,2,2,CT,12
calib_00326,0.2869645953178406,0.9958752393722534,7,8,HIVAIO.,CHICAGO.
calib_00327,0.6902907490730286,0.8636353611946106,3,3,uol,ion
calib_00328,0.43592604994773865,0.5663189888000488,2,2,Re,Sy
calib_00329,0.4502170979976654,0.9999669194221497,8,10,cortsuce,conscience
calib_00330,0.506243884563446,0.29577139019966125,3,3,COS,SIO
calib_00331,0.4008432924747467,0.9157750010490417,1,3,0,LOC
calib_00332,0.9365350008010864,0.18218576908111572,2,4,Ev,E00N
calib_00333,0.49829021096229553,0.3291909992694855,3,2,572,4G
calib_00334,0.8970375657081604,0.24435055255889893,6,3,DEEDER,CCR
calib_00335,0.9779868125915527,0.6361852884292603,3,3,TEI,TEL
calib_00336,0.9991978406906128,0.44489458203315735,7,6,STAPLES,SAPEES
calib_00337,0.7256247401237488,0.5485714673995972,4,2,Doue,ma
calib_00338,0.5522463917732239,0.9985830187797546,5,5,panod,Found
calib_00339,0.25104090571403503,0.29640811681747437,1,1,2,C
calib_00340,0.35864147543907166,0.9782695770263672,18,26,TEECEEEEEEEEECECES,LCD GLASS SCREEN PROTECTOR
calib_00341,0.9953581690788269,0.3546173870563507,7,6,Federal,Feerad
calib_00342,0.4098692536354065,0.5902841687202454,2,2,14,27
calib_00343,0.7815820574760437,0.7187968492507935,3,2,BUD,an
calib_00344,0.5711113214492798,0.6767615675926208,4,4,1002,2001
calib_00345,0.19694280624389648,0.19480973482131958,2,2,T0,mU
calib_00346,0.9733490347862244,0.5595549941062927,2,2,TH,HL
calib_00347,0.4014836847782135,0.5768544673919678,1,1,I,-
calib_00348,0.2012740671634674,0.46054425835609436,1,1,1,1
calib_00349,0.8001006245613098,0.40794405341148376,2,3,WE,all
calib_00350,0.9954689741134644,0.6075390577316284,4,4,RING,ONIG
calib_00351,0.6335393786430359,0.9959117770195007,3,3,551,155
calib_00352,0.7693865299224854,0.7472236752510071,3,3,070,010
calib_00353,0.3427591025829315,0.21322210133075714,6,5,or/eAs,POpi0
calib_00354,0.3697345554828644,0.8042857050895691,7,7,SUONION,NURNBES
calib_00355,0.16669493913650513,0.9131657481193542,3,10,har,hrockville
calib_00356,0.3507068157196045,0.7612035274505615,3,3,Las,see
calib_00357,0.9955309629440308,0.281141072511673,7,6,seduced,cramed
calib_00358,0.44201722741127014,0.6669011116027832,1,3,1,Tep
calib_00359,0.9939597249031067,0.3548581302165985,18,9,Strumpfbandnatter.,'snuuqun.
calib_00360,0.9784206748008728,0.8054885268211365,1,1,n,U
calib_00361,0.8280326724052429,0.3370792269706726,4,4,STRE,JHIS
calib_00362,0.9321118593215942,0.0,16,0,Ocypetesetulosa.,
calib_00363,0.41817528009414673,0.5553338527679443,1,1,2,G
calib_00364,0.8963776230812073,0.2183750867843628,3,3,2Av,2=A
calib_00365,0.7662179470062256,0.9005155563354492,4,4,SINN,NALS
calib_00366,0.5901339650154114,0.2571169137954712,3,1,277,m
calib_00367,0.8400786519050598,0.6516381502151489,3,3,617,419
calib_00368,0.93723464012146,0.8324246406555176,2,2,no,DU
calib_00369,0.7805848121643066,0.8001080751419067,2,2,if,11
calib_00370,0.49866780638694763,0.7763270139694214,3,4,SYA,VA.F
calib_00371,0.28141868114471436,0.9118199348449707,7,8,NOVIOiN,WILGUARE
calib_00372,0.43092775344848633,0.3179207146167755,1,1,O,O
calib_00373,0.5870053172111511,0.8537308573722839,6,5,.snomw,muus.
calib_00374,0.1564066857099533,0.9161122441291809,1,1,2,M
calib_00375,0.647687554359436,0.5388737320899963,2,2,3-,#E
calib_00376,0.35838279128074646,0.23191003501415253,1,1,S,5
calib_00377,0.2257167398929596,0.9260761737823486,5,6,PDIIA,DANCEA
calib_00378,0.3629305958747864,0.9436500668525696,8,10,SSMEPENN,O SUPERMAN
calib_00379,0.44091030955314636,0.6504942178726196,3,3,MON,AOW
calib_00380,0.8810031414031982,0.29817119240760803,4,4,Isla,ttee
calib_00381,0.7080619931221008,0.9779738187789917,12,13,suogesiuedio,organisations
calib_00382,0.8548843860626221,0.9998680353164673,1,1,3,3
calib_00383,0.5474896430969238,0.19469678401947021,2,1,70,U
calib_00384,0.7684564590454102,0.740618884563446,3,3,127,471
calib_00385,0.5832182765007019,0.9616573452949524,4,4,VIOW,MBIA
calib_00386,0.2938705086708069,0.764313280582428,1,2,S,VS
calib_00387,0.40136638283729553,0.6326284408569336,3,4,CME,TAAS
calib_00388,0.26578760147094727,0.9253432154655457,5,10,aeesp,des_Kalten
calib_00389,0.618026077747345,0.9563872814178467,6,6,(1212),(213g)
calib_00390,0.2384316474199295,0.34753453731536865,1,1,N,7
calib_00391,0.2487766444683075,0.37934115529060364,2,5,eb,molie
calib_00392,0.4141632914543152,0.2672690451145172,1,1,0,O
calib_00393,0.291626513004303,0.2234189361333847,2,1,CL,T
