image_id,p_x,p_rot
calib_00124,0.8689371,0.13106294
calib_00125,0.6219609,0.37803906
calib_00126,0.10163287,0.8983671
calib_00127,0.20299338,0.7970066
calib_00128,0.61230963,0.38769034
calib_00129,0.439733,0.56026703
calib_00130,0.6328426,0.3671574
calib_00131,0.012877414,0.98712254
calib_00132,0.43423396,0.565766
calib_00133,0.3691585,0.63084143
calib_00134,0.005430764,0.9945693
calib_00135,0.29763985,0.70236015
calib_00136,0.41496208,0.58503795
calib_00137,0.95617145,0.043828577
calib_00138,0.398421,0.601579
calib_00139,0.16838995,0.8316101
calib_00140,0.37367842,0.62632155
calib_00141,0.51660734,0.48339263
calib_00142,0.9948237,0.0051762764
calib_00143,3.342792e-06,0.99999666
calib_00144,0.615238,0.384762
calib_00145,0.20817396,0.791826
calib_00146,0.92442846,0.07557146
calib_00147,0.047472294,0.95252776
calib_00148,0.2299419,0.7700581
calib_00149,0.99057835,0.009421596
calib_00150,0.7173334,0.28266656
calib_00151,0.19339253,0.8066075
calib_00152,0.938419,0.06158098
calib_00153,0.8863679,0.11363209
calib_00154,0.6349968,0.36500323
calib_00155,0.7621044,0.23789562
calib_00156,0.96163285,0.03836716
calib_00157,0.47939253,0.5206075
calib_00158,0.99149805,0.008501984
calib_00159,0.41083387,0.5891661
calib_00160,0.6717692,0.3282308
calib_00161,0.49086776,0.50913227
calib_00162,0.9774316,0.022568464
calib_00163,0.032910783,0.9670892
calib_00164,0.014350547,0.9856494
calib_00165,0.6565263,0.34347367
calib_00166,0.3141852,0.6858148
calib_00167,0.47096795,0.52903205
calib_00168,0.95195204,0.048047967
calib_00169,0.012132063,0.98786795
calib_00170,0.2253609,0.7746391
calib_00171,0.9655816,0.03441834
calib_00172,0.9894922,0.0105077755
calib_00173,0.29162145,0.70837855
calib_00174,0.7264435,0.2735565
calib_00175,0.30989584,0.6901041
calib_00176,0.66992897,0.33007106
calib_00177,0.34752533,0.65247464
calib_00178,0.17987385,0.8201262
calib_00179,0.21514308,0.7848569
calib_00180,0.0043614646,0.99563855
calib_00181,0.11871176,0.88128823
calib_00182,0.9682769,0.03172309
calib_00183,8.4355415e-06,0.99999154
calib_00184,0.11577203,0.884228
calib_00185,0.33171964,0.6682803
calib_00186,0.27677333,0.7232266
calib_00187,0.012782453,0.9872176
calib_00188,0.11270198,0.88729805
calib_00189,0.6132265,0.3867735
calib_00190,0.46083632,0.5391637
calib_00191,0.33370957,0.66629046
calib_00192,0.8026648,0.19733518
calib_00193,0.21052466,0.7894753
calib_00194,0.7626239,0.23737606
calib_00195,0.38620925,0.61379075
calib_00196,0.6759802,0.3240198
calib_00197,0.44255388,0.5574461
calib_00198,0.05699262,0.9430074
calib_00199,0.95600706,0.043993
calib_00200,0.1710278,0.82897216
calib_00201,0.1841145,0.8158855
calib_00202,0.7630317,0.23696831
calib_00203,0.92298394,0.077016
calib_00204,0.61456245,0.38543755
calib_00205,0.13986765,0.8601324
calib_00206,0.52798396,0.472016
calib_00207,0.12108469,0.87891525
calib_00208,0.1225002,0.87749976
calib_00209,0.71020925,0.28979078
calib_00210,0.4129729,0.58702713
calib_00211,0.5077762,0.4922238
calib_00212,0.1382289,0.86177105
calib_00213,0.14969584,0.8503041
calib_00214,0.07260515,0.9273948
calib_00215,0.48483032,0.5151696
calib_00216,0.0077383206,0.99226165
calib_00217,0.45925528,0.5407448
calib_00218,0.40771592,0.5922841
calib_00219,0.13431373,0.86568624
calib_00220,0.4217586,0.5782414
calib_00221,0.022439545,0.9775605
calib_00222,0.55898803,0.44101194
calib_00223,0.948695,0.051305015
calib_00224,0.81724054,0.18275945
calib_00225,0.4575742,0.54242575
calib_00226,0.45808303,0.54191697
calib_00227,0.85145175,0.1485483
calib_00228,0.016908776,0.9830912
calib_00229,0.28201535,0.7179846
calib_00230,0.573781,0.42621905
calib_00231,0.5672768,0.43272313
calib_00232,0.5940446,0.40595537
calib_00233,0.6226698,0.37733015
calib_00234,0.86991334,0.13008672
calib_00235,0.9764231,0.023576943
calib_00236,0.1560025,0.8439975
calib_00237,9.046662e-16,1.0
calib_00238,0.1914904,0.8085096
calib_00239,0.36432034,0.63567966
calib_00240,0.036090728,0.9639092
calib_00241,0.0037589225,0.9962411
calib_00242,0.19077519,0.8092248
calib_00243,0.17959636,0.82040364
calib_00244,0.47251767,0.5274823
calib_00245,0.84076345,0.15923657
calib_00246,0.0057191127,0.99428093
calib_00247,0.31794065,0.68205935
calib_00248,0.9564657,0.04353427
calib_00249,0.002372405,0.99762756
calib_00250,0.6306669,0.3693331
calib_00251,0.79185784,0.2081421
calib_00252,0.0903554,0.9096446
calib_00253,0.31988278,0.68011725
calib_00254,0.008123541,0.9918765
calib_00255,0.5826316,0.41736844
calib_00256,0.9908886,0.009111419
calib_00257,0.70158774,0.29841223
calib_00258,0.13272841,0.8672716
calib_00259,0.7120715,0.2879285
calib_00260,0.70222217,0.29777777
calib_00261,0.06618455,0.9338155
calib_00262,0.08613378,0.91386616
calib_00263,0.8815949,0.11840508
calib_00264,0.76744443,0.2325556
calib_00265,0.65354633,0.34645367
calib_00266,0.65330416,0.34669584
calib_00267,0.44585094,0.55414903
calib_00268,0.012766794,0.98723316
calib_00269,0.9274179,0.07258205
calib_00270,0.46847248,0.5315275
calib_00271,0.65296245,0.34703752
calib_00272,0.0360739,0.9639261
calib_00273,0.053836867,0.9461632
calib_00274,0.38700125,0.6129987
calib_00275,0.4984155,0.5015845
calib_00276,0.35131583,0.6486842
calib_00277,0.9936745,0.006325528
calib_00278,0.19132121,0.8086788
calib_00279,0.31079778,0.6892022
calib_00280,0.7181574,0.28184256
calib_00281,0.0017540364,0.99824595
calib_00282,0.94759065,0.052409273
calib_00283,0.9982431,0.0017568658
calib_00284,0.39582688,0.6041731
calib_00285,0.02571342,0.97428656
calib_00286,0.36756703,0.632433
calib_00287,0.65724146,0.34275854
calib_00288,0.76219314,0.23780684
calib_00289,0.29854086,0.7014591
calib_00290,0.2995328,0.70046717
calib_00291,0.50273395,0.49726605
calib_00292,0.031018352,0.9689817
calib_00293,0.0055250004,0.99447495
calib_00294,0.43731892,0.5626811
calib_00295,0.009097279,0.9909027
calib_00296,0.5826767,0.41732326
calib_00297,0.9219972,0.07800282
calib_00298,0.023053782,0.9769462
calib_00299,0.9107775,0.08922244
calib_00300,0.09890573,0.90109426
calib_00301,0.3270216,0.67297834
calib_00302,0.9100042,0.08999584
calib_00303,0.64954054,0.3504595
calib_00304,0.028127298,0.9718726
calib_00305,0.08187291,0.9181271
calib_00306,0.0200575,0.97994256
calib_00307,0.67063475,0.32936525
calib_00308,0.8845143,0.11548569
calib_00309,0.0652854,0.93471456
calib_00310,0.4779251,0.5220749
calib_00311,0.02023191,0.9797681
calib_00312,0.26999864,0.7300014
calib_00313,0.9669552,0.0330448
calib_00314,0.69746083,0.30253917
calib_00315,0.0038967486,0.9961033
calib_00316,0.60172755,0.39827245
calib_00317,0.9963391,0.003660966
calib_00318,0.93792427,0.06207574
calib_00319,0.089357935,0.9106421
calib_00320,0.6459592,0.35404086
calib_00321,0.16186965,0.83813035
calib_00322,0.28103563,0.71896434
calib_00323,0.98878306,0.011216914
calib_00324,0.0044443733,0.9955556
calib_00325,0.46229702,0.537703
calib_00326,0.9619391,0.038060904
calib_00327,0.9491934,0.050806586
calib_00328,0.07766438,0.92233557
calib_00329,1.0,1.5821885e-11
calib_00330,0.41848332,0.5815166
calib_00331,0.8776551,0.122344896
calib_00332,0.16140467,0.8385953
calib_00333,0.17206493,0.82793504
calib_00334,0.26697844,0.73302156
calib_00335,0.08767717,0.9123229
calib_00336,0.60237783,0.39762217
calib_00337,0.517361,0.482639
calib_00338,0.82706046,0.1729395
calib_00339,0.4428934,0.5571066
calib_00340,0.9961132,0.0038868163
calib_00341,0.011237523,0.98876244
calib_00342,0.11447038,0.88552964
calib_00343,0.3554981,0.64450186
calib_00344,0.77377117,0.22622885
calib_00345,0.15488772,0.84511226
calib_00346,0.9643387,0.035661228
calib_00347,0.53492063,0.46507943
calib_00348,0.958575,0.041424967
calib_00349,0.48393145,0.5160686
calib_00350,0.5414024,0.45859757
calib_00351,0.88535523,0.1146448
calib_00352,0.21594895,0.784051
calib_00353,0.44388834,0.5561117
calib_00354,0.294232,0.705768
calib_00355,0.8028563,0.1971437
calib_00356,0.60231966,0.3976803
calib_00357,0.6412177,0.3587823
calib_00358,0.96303725,0.03696282
calib_00359,6.690936e-06,0.9999933
calib_00360,0.70631427,0.2936857
calib_00361,0.3482371,0.6517629
calib_00362,0.17491494,0.82508504
calib_00363,0.9016003,0.098399706
calib_00364,0.011097261,0.98890275
calib_00365,0.78364885,0.21635117
calib_00366,0.719479,0.280521
calib_00367,0.38867566,0.6113243
calib_00368,0.50063074,0.49936923
calib_00369,0.27605557,0.7239444
calib_00370,0.9219513,0.07804866
calib_00371,0.9994081,0.00059192773
calib_00372,0.5720954,0.42790464
calib_00373,0.9073627,0.0926373
calib_00374,0.27130204,0.7286979
calib_00375,0.54877317,0.45122686
calib_00376,0.90382785,0.09617212
calib_00377,0.32467264,0.67532736
calib_00378,0.89442873,0.10557127
calib_00379,0.7950754,0.20492455
calib_00380,0.043021895,0.95697814
calib_00381,0.87839526,0.12160471
calib_00382,0.9679216,0.032078333
calib_00383,0.2652716,0.73472834
calib_00384,0.33262843,0.6673715
calib_00385,0.98135203,0.018648006
calib_00386,0.46290097,0.53709906
calib_00387,0.89437604,0.105623946
calib_00388,0.9500342,0.04996582
calib_00389,0.34017035,0.6598296
calib_00390,0.7817984,0.21820153
calib_00391,0.5471894,0.45281062
calib_00392,0.6461134,0.35388663
calib_00393,0.02972811,0.9702719
calib_00394,0.6019888,0.39801118
calib_00395,0.01193517,0.9880648
calib_00396,0.21775083,0.7822491
calib_00397,0.16347992,0.8365201
calib_00398,0.622153,0.37784705
calib_00399,0.8828582,0.11714174
calib_00400,0.0937679,0.90623206
calib_00401,0.9742474,0.025752645
calib_00402,0.0058130273,0.994187
calib_00403,0.42331842,0.5766816
calib_00404,0.6046826,0.39531738
calib_00405,0.6572238,0.34277618
calib_00406,0.40642393,0.5935761
calib_00407,0.9953507,0.0046492363
calib_00408,0.55788285,0.4421171
calib_00409,0.99999654,3.4792467e-06
calib_00410,0.8558685,0.1441315
calib_00411,0.7880336,0.21196643
calib_00412,0.4660397,0.53396034
calib_00413,0.283037,0.716963
calib_00414,0.5199603,0.48003975
calib_00415,0.9033353,0.09666475
calib_00416,0.34733835,0.6526617
calib_00417,0.4640347,0.5359653
calib_00418,0.9457254,0.054274637
calib_00419,0.7075741,0.2924259
calib_00420,0.29862413,0.70137584
calib_00421,0.7469788,0.25302118
calib_00422,0.03102539,0.9689746
calib_00423,0.49105236,0.5089477
calib_00424,0.97819716,0.021802893
calib_00425,0.5598693,0.4401307
calib_00426,0.0055567003,0.99444336
calib_00427,0.96101296,0.03898702
calib_00428,0.518816,0.481184
calib_00429,0.00040085177,0.99959916
calib_00430,0.15206209,0.8479379
calib_00431,0.915226,0.08477398
calib_00432,0.66783476,0.33216524
calib_00433,0.510074,0.48992595
calib_00434,0.33711836,0.6628816
calib_00435,0.70615345,0.29384655
calib_00436,0.11139535,0.88860464
calib_00437,0.8398896,0.16011043
calib_00438,0.15585732,0.8441427
calib_00439,0.08213279,0.91786724
calib_00440,0.64471656,0.3552834
calib_00441,0.0238202,0.97617984
calib_00442,0.9119508,0.08804919
calib_00443,0.38578063,0.61421937
calib_00444,0.50467205,0.49532798
calib_00445,0.89769715,0.1023029
calib_00446,0.24191299,0.7580869
calib_00447,0.9838583,0.01614176
calib_00448,0.96035236,0.039647568
calib_00449,0.34483835,0.6551617
calib_00450,0.19290347,0.80709654
calib_00451,0.99998903,1.1012068e-05
calib_00452,0.5331024,0.46689758
calib_00453,0.36558175,0.63441825
calib_00454,0.13364431,0.8663557
calib_00455,0.25503588,0.7449641
calib_00456,0.4054559,0.5945441
calib_00457,0.006495257,0.99350476
calib_00458,0.0024509646,0.997549
calib_00459,0.32760635,0.6723936
calib_00460,0.1864264,0.81357366
calib_00461,0.44093224,0.5590677
calib_00462,0.007504782,0.9924952
calib_00463,0.4187405,0.5812595
calib_00464,0.9273296,0.07267034
calib_00465,0.78276986,0.21723008
calib_00466,0.9673168,0.032683156
calib_00467,0.8162032,0.18379685
calib_00468,0.80469817,0.19530188
calib_00469,0.87138265,0.12861739
calib_00470,0.22737378,0.77262616
calib_00471,0.25324246,0.7467575
calib_00472,0.4255975,0.5744025
calib_00473,0.621397,0.37860298
calib_00474,0.7432761,0.2567239
calib_00475,0.79861474,0.2013852
calib_00476,0.3936682,0.60633177
calib_00477,0.001559322,0.9984407
calib_00478,0.2146001,0.7853999
calib_00479,8.164099e-05,0.99991834
calib_00480,0.74913895,0.25086102
calib_00481,0.33648422,0.66351575
calib_00482,0.6702896,0.32971036
calib_00483,0.23575605,0.7642439
calib_00484,0.0644947,0.93550533
calib_00485,0.4498546,0.5501454
calib_00486,0.9878412,0.01215887
calib_00487,0.6497932,0.3502068
calib_00488,0.99204296,0.00795707
calib_00489,0.5811069,0.41889313
calib_00490,0.43077195,0.56922805
calib_00491,0.17532592,0.82467407
calib_00492,0.00018606479,0.999814
calib_00493,0.8095754,0.19042462
calib_00494,0.8808436,0.11915642
calib_00495,0.61805004,0.38194996
calib_00496,0.636086,0.363914
calib_00497,0.46994466,0.53005534
calib_00498,0.238378,0.76162195
calib_00499,0.48884913,0.5111509
calib_00500,0.14564227,0.8543577
calib_00501,0.41321388,0.5867861
calib_00502,0.9894555,0.010544517
calib_00503,0.6926508,0.30734918
calib_00504,0.59529305,0.40470695
calib_00505,0.82870066,0.17129932
calib_00506,0.111209795,0.8887902
calib_00507,0.2453428,0.7546572
calib_00508,0.13188156,0.86811846
calib_00509,0.3930622,0.60693777
calib_00510,2.5127083e-09,1.0
calib_00511,0.01814505,0.9818549
calib_00512,0.53196615,0.46803385
calib_00513,0.6349526,0.3650474
calib_00514,0.99645483,0.0035452414
calib_00515,0.30352777,0.6964722
calib_00516,0.24492125,0.7550788
calib_00517,0.30574954,0.69425046
calib_00518,0.8099603,0.1900397
calib_00519,0.11107238,0.8889276
calib_00520,0.22301075,0.7769893
calib_00521,0.03547649,0.96452355
calib_00522,0.526609,0.473391
calib_00523,0.08572283,0.91427714
calib_00524,0.5138059,0.48619407
calib_00525,0.67059374,0.32940626
calib_00526,0.67788917,0.32211083
calib_00527,0.0537005,0.9462995
calib_00528,0.37136588,0.6286341
calib_00529,0.88014084,0.119859144
calib_00530,0.30126947,0.6987305
calib_00531,0.13220796,0.867792
calib_00532,0.026215423,0.9737846
calib_00533,0.13062407,0.8693759
calib_00534,0.9829988,0.017001152
calib_00535,0.9367553,0.063244656
calib_00536,0.39512938,0.6048706
calib_00537,0.9539461,0.046053924
calib_00538,0.28271383,0.71728617
calib_00539,0.7288141,0.27118587
calib_00540,0.1194112,0.8805888
calib_00541,0.3068893,0.6931107
calib_00542,0.85932636,0.14067364
calib_00543,0.9990094,0.0009905433
calib_00544,0.8328844,0.1671156
calib_00545,0.30270767,0.6972923
calib_00546,0.0814441,0.9185559
calib_00547,0.6898474,0.31015256
calib_00548,0.85527724,0.14472274
calib_00549,0.0007367265,0.9992632
calib_00550,0.7535156,0.24648441
calib_00551,0.88916814,0.110831834
calib_00552,0.69321036,0.3067896
calib_00553,0.007245034,0.992755
calib_00554,0.92496544,0.07503451
calib_00555,0.6122146,0.38778535
calib_00556,0.7541744,0.2458256
calib_00557,0.96949816,0.03050187
calib_00558,0.98303074,0.016969243
calib_00559,0.9963834,0.0036165474
calib_00560,0.7929456,0.20705439
calib_00561,0.01992626,0.98007375
calib_00562,0.03742928,0.96257067
calib_00563,0.8470628,0.15293717
calib_00564,0.9574384,0.04256157
calib_00565,0.40001702,0.599983
calib_00566,0.68690985,0.31309012
calib_00567,0.99019146,0.009808557
calib_00568,0.8229793,0.17702071
calib_00569,0.7077688,0.2922312
calib_00570,0.9997464,0.00025361392
calib_00571,0.4813973,0.51860267
calib_00572,0.8756941,0.12430596
calib_00573,0.054525044,0.9454749
calib_00574,0.019351447,0.9806486
calib_00575,0.9915001,0.008500007
calib_00576,0.8814187,0.118581295
calib_00577,0.6776732,0.32232672
calib_00578,0.8927457,0.10725432
calib_00579,0.049734186,0.95026577
calib_00580,0.5671659,0.43283415
calib_00581,0.47014636,0.52985364
calib_00582,0.47171798,0.528282
calib_00583,0.43998474,0.5600153
calib_00584,0.84818286,0.15181714
calib_00585,0.0010149243,0.9989851
calib_00586,0.7891938,0.21080616
calib_00587,0.095882155,0.9041179
calib_00588,0.25763303,0.7423669
calib_00589,0.38733995,0.6126601
calib_00590,0.055793595,0.94420636
calib_00591,0.99688655,0.003113476
calib_00592,0.22511558,0.7748844
calib_00593,0.13236311,0.86763686
calib_00594,0.26514998,0.73485
calib_00595,0.009129135,0.9908709
calib_00596,0.52726966,0.47273037
calib_00597,0.7762426,0.22375736
calib_00598,0.004831097,0.99516886
calib_00599,0.99223846,0.0077615357
calib_00600,0.85538495,0.14461501
calib_00601,0.81800544,0.1819946
calib_00602,0.83531296,0.16468704
calib_00603,0.15987702,0.840123
calib_00604,0.788678,0.21132196
calib_00605,0.90162337,0.0983767
calib_00606,0.93921185,0.060788184
calib_00607,0.15915129,0.84084874
calib_00608,0.917942,0.08205807
calib_00609,0.43572378,0.5642762
calib_00610,0.19547163,0.80452836
calib_00611,0.38915962,0.61084044
calib_00612,0.803314,0.19668601
calib_00613,0.6049218,0.39507824
calib_00614,0.538028,0.46197203
calib_00615,0.11951268,0.8804873
calib_00616,0.43435767,0.5656423
calib_00617,0.35821053,0.64178944
calib_00618,0.92489,0.075110026
calib_00619,0.1163625,0.88363755
calib_00620,0.996651,0.0033490323
calib_00621,0.8358654,0.16413462
calib_00622,0.9025449,0.09745505
calib_00623,0.78951377,0.21048622
calib_00624,0.06980324,0.9301967
calib_00625,0.8944285,0.10557147
calib_00626,0.6285614,0.37143862
calib_00627,0.23892812,0.76107186
calib_00628,0.9631864,0.036813576
calib_00629,0.83227104,0.16772896
calib_00630,0.5706112,0.4293888
calib_00631,0.99988115,0.00011883544
calib_00632,0.5253285,0.47467142
calib_00633,0.31444496,0.685555
calib_00634,1.1195076e-10,1.0
calib_00635,0.8185779,0.18142205
calib_00636,0.58783877,0.4121612
calib_00637,0.41489965,0.58510035
calib_00638,0.025993126,0.9740069
calib_00639,0.75086725,0.24913271
calib_00640,0.013866138,0.9861339
calib_00641,0.21133342,0.7886666
calib_00642,0.34272453,0.65727544
calib_00643,0.46395588,0.5360441
calib_00644,0.6862197,0.3137803
calib_00645,0.5770457,0.4229543
calib_00646,0.14043102,0.859569
calib_00647,0.79390806,0.20609194
calib_00648,0.0057355384,0.9942644
calib_00649,0.49719322,0.5028068
calib_00650,0.5512605,0.44873947
calib_00651,0.34158167,0.6584183
calib_00652,0.8944436,0.10555641
calib_00653,0.337068,0.662932
calib_00654,0.45767635,0.5423236
calib_00655,0.89495087,0.10504918
calib_00656,0.7608436,0.23915644
calib_00657,0.9986528,0.0013471466
calib_00658,0.98096275,0.019037193
calib_00659,0.092180975,0.90781903
calib_00660,0.903939,0.096061006
calib_00661,0.4150264,0.5849736
calib_00662,0.14376684,0.8562332
calib_00663,0.021082627,0.97891736
calib_00664,0.45138133,0.5486187
calib_00665,0.7898782,0.21012181
calib_00666,0.00082107633,0.99917895
calib_00667,0.035127807,0.9648721
calib_00668,0.12397616,0.8760238
calib_00669,0.38764837,0.61235166
calib_00670,0.9929529,0.007047069
calib_00671,0.74990535,0.25009465
calib_00672,0.070490584,0.92950946
calib_00673,0.71797055,0.28202942
calib_00674,0.9999893,1.0718341e-05
calib_00675,0.8620362,0.13796377
calib_00676,0.2145849,0.78541505
calib_00677,0.9904151,0.009584927
calib_00678,0.9437909,0.056209043
calib_00679,0.2905293,0.7094707
calib_00680,0.22767986,0.7723201
calib_00681,0.51574963,0.48425037
calib_00682,0.64848053,0.3515195
calib_00683,0.69080764,0.3091923
calib_00684,0.9982047,0.0017952395
calib_00685,0.9999032,9.683752e-05
calib_00686,0.6242355,0.37576446
calib_00687,0.36216798,0.63783205
calib_00688,0.36262667,0.6373733
calib_00689,0.97534573,0.024654247
calib_00690,0.28725535,0.71274465
calib_00691,0.75825375,0.24174622
calib_00692,0.87963873,0.12036123
calib_00693,0.035946775,0.9640532
calib_00694,0.3033704,0.69662964
calib_00695,0.0036399893,0.99636
calib_00696,0.14739615,0.85260385
calib_00697,0.50270224,0.4972978
calib_00698,0.03128669,0.96871334
calib_00699,0.08608935,0.9139107
calib_00700,0.523416,0.47658408
calib_00701,0.1269009,0.87309915
calib_00702,0.3222615,0.6777385
calib_00703,0.47369495,0.526305
calib_00704,0.18037526,0.8196247
calib_00705,0.23629668,0.7637033
calib_00706,0.6887503,0.3112496
calib_00707,0.015429984,0.98456997
calib_00708,0.43119007,0.56880987
calib_00709,0.12907422,0.8709258
calib_00710,0.3458968,0.6541032
calib_00711,0.023600925,0.9763991
calib_00712,0.73350227,0.26649767
calib_00713,0.6146342,0.38536578
calib_00714,0.6190461,0.3809539
calib_00715,0.13368692,0.86631304
calib_00716,0.006793718,0.99320626
calib_00717,0.92344594,0.07655405
calib_00718,0.9777989,0.022201104
calib_00719,0.65327984,0.34672013
calib_00720,0.36669344,0.63330656
calib_00721,0.0048721153,0.9951279
calib_00722,0.99868757,0.0013124439
calib_00723,0.24793778,0.75206214
calib_00724,0.11841118,0.8815889
calib_00725,0.9016725,0.09832747
calib_00726,0.92098576,0.07901427
calib_00727,0.62735635,0.3726436
calib_00728,0.8315218,0.1684782
calib_00729,0.5408104,0.45918956
calib_00730,0.03997183,0.9600282
calib_00731,0.57486606,0.4251339
calib_00732,0.49497905,0.5050209
calib_00733,0.25908816,0.74091184
calib_00734,0.4843191,0.51568097
calib_00735,0.5300502,0.46994975
calib_00736,0.25902885,0.7409711
calib_00737,0.7516091,0.24839091
calib_00738,0.33409634,0.6659036
calib_00739,0.90423656,0.095763385
calib_00740,0.8638974,0.13610254
calib_00741,0.34419966,0.65580034
calib_00742,0.6936599,0.30634007
calib_00743,0.48822162,0.5117784
calib_00744,0.47787467,0.5221253
calib_00745,0.00016200502,0.999838
calib_00746,0.06562875,0.9343713
calib_00747,0.4927671,0.5072329
calib_00748,0.4697292,0.5302708
calib_00749,0.9949647,0.005035263
calib_00750,0.21292262,0.7870773
calib_00751,0.9999424,5.756886e-05
calib_00752,0.33235425,0.66764575
calib_00753,0.12643217,0.8735678
calib_00754,0.99938464,0.00061536685
calib_00755,0.91915363,0.0808463
calib_00756,0.999448,0.00055196043
calib_00757,0.9828498,0.017150229
calib_00758,0.6770164,0.32298362
calib_00759,0.6239204,0.37607962
calib_00760,0.24732159,0.75267845
calib_00761,0.5915597,0.4084403
calib_00762,0.5568149,0.44318503
calib_00763,0.010200226,0.98979986
calib_00764,0.10484978,0.8951502
calib_00765,0.13385096,0.866149
calib_00766,0.084304385,0.9156956
calib_00767,0.8612614,0.13873856
calib_00768,0.9930239,0.006976112
calib_00769,0.265169,0.734831
calib_00770,0.27103,0.72897
calib_00771,0.3311072,0.6688928
calib_00772,0.7798158,0.2201842
calib_00773,0.7633426,0.2366574
calib_00774,0.16262333,0.83737665
calib_00775,0.87668693,0.12331305
